Name,Region,Country,City,Fest START Date,Fest END Date,Festival Lengh,Website,Entry Categories,Specialization,A-list,Deadline Regular,Deadline Extended,Free Submission,Link submission,Platform for submission,Notes about submission,Status,Last update
Clermont-Ferrand Short Film Festival,Europe,France,Clermont-Ferrand,30/1/2026,7/2/2026,9 days,https://www.clermont-filmfest.org/en/,"Short Documentary,VR/AR",,,3/10/2025,3/10/2025,,https://shortfilmdepot.com/en/festival/1,Shortfilmdepot ,"International films must be under 40 mins.
French Films and XR max 59 mins.
Important guidelines for deadlines here: https://clermont-filmfest.org/en/short-film-festival/submit-a-film/
Info: Temporary deadlines for upcoming festival edition",Active,4/15/2025
Cleveland International Film Festival,North America,USA,"Cleveland, OH",9/4/2026,18/4/2026,10 days,https://www.clevelandfilm.org,"Short Documentary,Mid-length Documentary,Feature Documentary",Independent film,,1/11/2025,,,https://filmfreeway.com/ClevelandInternationalFilmFestival,FilmFreeway,"Exact Submission deadlines TBA
Shorts under 45 minutes; features anything 45 minutes and longer. 
More info: https://www.clevelandfilm.org/for-filmmakers/call-for-entries",Active,5/6/2025
Contra el Silencio Todas las Voces,Central and South America,Mexico,Tlalpan,20/9/2024,28/9/2024,9 days,https://www.contraelsilencio.org/,"Feature Documentary,Student Documentary","Human Rights,Indigenous,Independent film,Latin American ",,15/4/2024,15/4/2024,checked,https://filmfreeway.com/XIIIEncuentroContraelSilencioTodaslasVoces ; https://filmmakers.festhome.com/en/festival/294/1,"Festhome,FilmFreeway","Festival runs ever 2 years, next edition will be in 2026
Free screenings around Mexico and in open TV.
Accepts films from Mexico, Latin America and Spain.
",Active,4/15/2025
Cork International Film Festival,Europe,Ireland,Cork,6/11/2025,16/11/2025,11 days,https://corkfilmfest.org,"Short Documentary,Feature Documentary,Creative/Experimental",,,30/5/2025,30/7/2025,,https://filmfreeway.com/CorkFilmFestival,FilmFreeway,"Irish Premiere required
Shorts must be 40 mins or less
Features over 41 mins
More info: https://corkfilmfest.org/submissions/
",Active,4/15/2025
CPH:DOX,Europe,Denmark,Copenhagen,11/3/2026,22/3/2026,12 days,https://cphdox.dk,"Short Documentary,Feature Documentary,VR/AR,Creative/Experimental",,checked,1/9/2025,25/11/2025,,https://vp.eventival.com/cphdox/cphdox2026,Eventival,Submission guidelines: https://cphdox.dk/submit-a-film/,Active,4/15/2025
Créteil International Women's Film Festival,Europe,France,Paris,4/4/2025,12/4/2025,9 days,https://filmsdefemmes.com,"Short Documentary,Mid-length Documentary,Feature Documentary",,,31/10/2024,31/10/2024,checked,https://docs.google.com/forms/d/e/1FAIpQLSc7Qu50WTPFiyCViOzrjFjzatLOeQOHRH4-Ee_G7PGCBHTYEA/viewform,,Submission Guidelines: https://filmsdefemmes.com/wp-content/uploads/2024/06/REGLEMENT-2025-FR_EN.pdf ,Active,5/6/2025
Crossing Europe Film Festival Linz,Europe,Austria,Linz,29/4/2025,4/5/2025,6 days,https://www.crossingeurope.at,"Feature Documentary,Short Documentary",,,6/1/2025,6/1/2025,checked,https://www.crossingeurope.at/submission,,"European feature-length and Austrian (local) films only. 
Submission guidelines: https://www.crossingeurope.at/en/submission/european_films",Active,12/25/2024
Cucalorus Film Festival,North America,USA,"Wilmington, NC",19/11/2025,23/11/2025,5 days,https://www.cucalorus.org/,"Short Documentary,Feature Documentary,Creative/Experimental","Emerging,Independent film",,27/5/2025,30/6/2025,,https://filmfreeway.com/CucalorusFilmFestival,FilmFreeway,"Non-Competitive festival
Short films are under 40 minutes.",Active,4/15/2025
Cuenca International Film Festival,Central and South America,Ecuador,Cuenca,25/6/2025,30/5/2025,6 days,http://ficc.ec,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental","Human Rights,Latin American ,Environment",,27/12/2024,11/4/2025,,https://filmfreeway.com/ficcuenca ; https://filmmakers.festhome.com/f/2394/1,"FilmFreeway,Festhome",Short films are under 40 minutes.,Active,4/15/2025
Dallas International Film Festival,North America,USA,"Dallas, TX",25/4/2025,2/5/2025,8 days,https://dallasfilm.org/diff,"Short Documentary,Mid-length Documentary,Feature Documentary",,,29/1/2025,1/3/2025,,https://filmfreeway.com/DallasInternationalFilmFestival,FilmFreeway,Shorts: under 25 minutes. Features: 60 minutes and longer. ,Active,12/25/2024
Denver Film Festival,North America,USA,"Denver, CO",31/10/2025,9/11/2025,10 days,https://www.denverfilm.org/,"Short Documentary,Feature Documentary,Student Documentary,Mid-length Documentary",,,5/5/2025,3/7/2025,,https://filmfreeway.com/DenverFilmFestival,FilmFreeway,Shorts: under 60 minutes. Features: 60 minutes and longer. ,Active,4/15/2025
Diagonale - Festival of Austrian Film,Europe,Austria,Graz,18/3/2026,23/4/2026,6 days,https://www.diagonale.at/en/,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",,,30/11/2025,,,https://www.diagonale.at/en/einreichkriterien-filmwettbewerb/,,"Exact submission deadlines TBA
The filmmaker must live in Austria or be an Austrian citizen (submissions by Austrians living abroad are also permitted) and/or the country of (co-)production is Austria.",Active,5/6/2025
Dinard British Film Festival,Europe,France,Dinard,1/10/2025,5/10/2025,5 days,https://www.dinardfestivaldufilm.fr/en/,"Short Documentary,Mid-length Documentary,Feature Documentary",Independent film,,,,,https://www.dinardfestivaldufilm.fr/en/appel-a-films/,Zone Festival,"Deadlines 
Shorts 09.06.2025
Features 15.07.25",Active,4/15/2025
DMZ International Documentary Film Festival,Asia Pacific,South Korea,Goyang and Paju,11/9/2025,17/9/2025,7 days,http://dmzdocs.com/eng/,"Short Documentary,Mid-length Documentary,Feature Documentary",,checked,30/4/2025,,checked,http://entry.dmzdocs.com/en/addon/00000013/submission_intro.asp,,"Submissions Deadlines 
International Competition(Only Features): 30.04.2025
Korean Competition(Features and Shorts): 23.05.2025
To submit first register your account, then log in on their website.",Active,4/15/2025
Doc Buenos Aires – Muestra internacional de cine documental,Central and South America,Argentina,Buenos Aires,20/8/2024,25/8/2024,6 days,https://docbsas.com/,"Feature Documentary,Short Documentary",,,,,,,,"No 2025 information available yet. 
",Active,5/6/2025
Doc Edge Festival,Asia Pacific,New Zealand,Auckland,25/6/2025,24/8/2025,61 days,http://www.docedge.nz,"Short Documentary,Mid-length Documentary,Feature Documentary,VR/AR,Student Documentary",,checked,22/12/2024,7/2/2025,,https://filmfreeway.com/DocEdgeFestival,FilmFreeway,"Short: 40 minutes or less
Feature: more than 40 minutes

",Active,4/17/2025
Doc Fortnight - MoMA's International Festival of Nonfiction Film and Media,North America,USA,"New York City, NY",20/2/2025,7/3/2025,16 days,https://www.moma.org/calendar/groups/31,"Feature Documentary,Creative/Experimental",,,,,,,,"By invitation only. 
",Active,4/17/2025
DOC NYC,North America,USA,"New York City, NY",12/11/2025,30/12/2025,19 days,https://www.docnyc.net,"Short Documentary,Mid-length Documentary,Feature Documentary,Episodic",,,2/5/2025,19/6/2025,,https://filmfreeway.com/DOCNYC,FilmFreeway,"Feature documentaries are 41 minutes or longer. 
Shorts are 40 minutes or shorter. ",Active,4/17/2025
Doc.London International Documentary Festival,Europe,United Kingdom,London,24/3/2026,26/3/2026,3 days,https://www.doclondon.org/,"Short Documentary,Mid-length Documentary,Feature Documentary",,,27/11/2025,27/12/2025,,https://filmfreeway.com/DocLondon,FilmFreeway,Submissions guidelines: https://www.doclondon.org/submit,Active,4/17/2025
DocLands,North America,USA,"San Rafael, CA",30/4/2025,4/5/2025,4 days,https://www.doclands.com,"Mid-length Documentary,Feature Documentary",,,31/1/2025,10/2/2025,,https://filmfreeway.com/DocLandsDocumentaryFilmFestival,FilmFreeway,"Shorts under 45 min
Features over 45 min
",Active,4/17/2025
Doclisboa,Europe,Portugal,Lisbon,16/10/2025,26/10/2025,11 days,https://doclisboa.org/,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental,Student Documentary",,checked,31/5/2025,31/5/2025,,https://vp.eventival.com/doclisboa/2025,Eventival,"Submission Guideline: https://vp.eventival.com/doclisboa/2025/custom-page/regulations/show 
Some categories have free submissions.",Active,4/17/2025
DocMontevideo,Central and South America,Uruguay,Montevideo,,,,https://www.docmontevideo.com/,"Feature Documentary,Short Documentary",,,,,,https://www.docmontevideo.com/en/participate/accreditations/,,No submission information since 2023,Inactive,4/17/2025
DocPoint — Helsinki Documentary Film Festival,Europe,Finland,Helsinki,4/2/2026,9/2/2026,6 days,https://docpointfestival.fi/en/,"Feature Documentary,Creative/Experimental",,,,,,,,"By invitation only. 
2026 Dates TBC",Active,4/17/2025
Docs Against Gravity,Europe,Poland,Warsaw,9/5/2025,19/5/2025,11 days,http://archiwum2018.docsag.pl/en/,"Mid-length Documentary,Feature Documentary,Short Documentary,VR/AR",,,1/2/2025,,,https://vp.eventival.com/mdagff/2025,Eventival,The festival actually takes place over 8 Polish cities.,Active,4/17/2025
DocsBarcelona,Europe,Spain,Barcelona,8/5/2025,18/5/2025,11 days,https://docsbarcelona.com/en/,"Mid-length Documentary,Feature Documentary,Student Documentary,Short Documentary",,checked,15/11/2024,,,https://forms.docsbarcelona.com/forms/a36e30f6-63bf-4b74-a980-371ea0097094?&utm_source=e-goi&utm_medium=email&utm_term=&utm_campaign=&eg_sub=9efae5fa3a&eg_cam=577d63ced407e3011b4b1f013dcc315e&eg_list=13,,"o Official Selection – Docs&Pearls: a minimum of 60 minutes.o Docs&Cat: between 31 and 60 minutes for medium-length format and over 60 minutes for feature documentary format.
o Docs&Teens: a minimum of 60 minutes. For this section, the Festival reserves the right to program other duration.
o DOC-U: a maximum of 30 minutes.
o Docs&Focus: a minimum of 60 minutes.
o Docs&Honor: no duration restrictions. ",Active,4/17/2025
DocsMX,North America,Mexico,Mexico City,23/10/2025,31/10/2025,11 days,https://docsmx.org,"Feature Documentary,Mid-length Documentary,Short Documentary",,,22/5/2025,,,https://convocatoria.docs-enlinea.com/en,,"May 22st | International deadline.
June 27th | National deadline.
Shorts under 30 minutes.
Fee waiver available for certain countries.
More Info: https://docsmx.org/en/call_for_entries_2025/docsmx_2025/index.php",Active,4/17/2025
DocsValència,Europe,Spain,Valencia,9/5/2025,17/5/2025,9 days,https://docsvalencia.com/,"Feature Documentary,Creative/Experimental",Spanish,,24/2/2025,,,,,"Valencian, Spanish, and International prizes available.",Active,4/17/2025
Docudays UA International Human Rights Documentary Film Festival,Europe,Ukraine,Kiev,6/5/2025,13/6/2025,8 days,https://docudays.ua/eng/,"Feature Documentary,Short Documentary,Mid-length Documentary",Human Rights,,22/12/2024,,,https://filmfreeway.com/docudays,FilmFreeway,"Regulations: https://docudays.ua/eng/regulations/ 

DOCU/WORLD, an international competition of feature- and medium-length documentaries which are longer than 30 minutes.

DOCU/SHORT, an international competition of short documentaries which are up to 30 minutes long.

DOCU/UKRAINE, a national competition. It includes documentaries of varying lengths, created in Ukraine or in co-production with Ukraine. Films created by Ukrainian filmmakers and foreign production companies are also welcome to apply.",Active,4/17/2025
Document Human Rights Film Festival,Europe,United Kingdom,"Glasgow, Scotland",25/1/2021,30/1/2021,6 days,http://www.documentfilmfestival.org,Feature Documentary,Human Rights,,,,,,,No updated since 2021 edition. ,Inactive,12/25/2024
DocuMental,Europe,Bulgaria,Sofia,21/9/2025,29/9/2025,9 days,http://www.documental.bg/en/,Feature Documentary,Human Rights,,,,,,,No info about submissions,Active,5/6/2025
DocumentaMadrid,Europe,Spain,Madrid,6/5/2025,11/5/2025,6 days,https://www.documentamadrid.com/en,"Short Documentary,Mid-length Documentary,Feature Documentary",,checked,25/2/2025,25/2/2025,checked,www.documentamadrid.com,,"Submissions through the website.
Rules & regulations : https://www.documentamadrid.com/en/download-bases ",Active,4/17/2025
Documentary Film Festival Amnesty International Slovenia - FDF,Europe,Slovenia,Ljubljana,12/3/2025,19/3/2025,8 Days,https://fdf.si/en/,Feature Documentary,Human Rights,,,,,,,No info about submissions,Active,5/6/2025
DocUtah,North America,USA,"St. George, UT",26/2/2026,28/2/2026,3 days,https://docutah.com,"Short Documentary,Feature Documentary,Mid-length Documentary,Student Documentary",,,5/9/2025,24/10/2025,,https://filmfreeway.com/DOCUTAH,FilmFreeway,"Short - Maximum of 44 minutes Feature - Minimum of 45 minutes Separate categories for ""foreign"". 
 ",Active,4/17/2025
Docville International Documentary Film Festival,Europe,Belgium,Leuven,26/3/2025,3/4/2025,9 days,https://www.docville.be/en,"Feature Documentary,Short Documentary",Science,checked,15/11/2024,6/12/2024,,https://filmfreeway.com/docville,FilmFreeway,Short documentaries are VERY RARELY selected. Only submit a short if it is very short (5-15). ,Active,4/17/2025
DOK Leipzig - International Leipzig Festival for Documentary and Animated Film,Europe,Germany,Leipzig,27/10/2025,2/11/2025,7 days,https://www.dok-leipzig.de/en,"Short Documentary,VR/AR,Feature Documentary,Mid-length Documentary",Animation,checked,1/7/2025,,,https://www.dok-leipzig.de/en/submission,,"Mid-length films can fit into shorts category (40 minutes and under) or feature category (41 minutes and over). 
VR/AR is a partnership with DOK Neuland. ",Active,4/17/2025
DOK.Fest München,Europe,Germany,Munich,12/5/2025,25/5/2025,14 days,https://www.dokfest-muenchen.de/?lang=en,"Mid-length Documentary,Feature Documentary,Student Documentary",,,31/12/2024,,,https://www.dokfest-muenchen.de/Submission?lang=en,,"Films must have a duration of 52 minutes.

Student & Music Doc Awards.

More deadlines here: https://www.dokfest-muenchen.de/Submission",Active,4/17/2025
DOKU.ARTS ,Europe,Germany,Berlin,4/10/2023,15/10/2023,12 days,http://www.doku-arts.com/en/start,"Feature Documentary,Short Documentary",Experimental,,8/5/2023,31/5/2023,,,FilmFreeway,"**Festival Suspended for 2024, Planned to Return in 2025**

DOKU.ARTS showcases documentaries about the arts and by artists, with a minimum length of 60 minutes. As a non-competitive festival. 
To see if your film aligns with our festival’s concept, please explore our past programs in our web archive: http://www.doku-arts.de/en/archive .",Inactive,12/25/2024
DokuFest - International Documentary and Short Film Festival,Europe,Kosovo,Prizren,1/8/2025,9/8/2025,9 days,https://dokufest.com,"Short Documentary,Mid-length Documentary,Feature Documentary",,,28/2/2025,30/3/2025,,https://filmfreeway.com/DokuFest,FilmFreeway,"Short documentaries are 40 minutes and under. 
No length requirement for features. 
",Active,4/17/2025
Double Exposure - Investigative Film Festival,North America,USA,"Washington, DC",30/10/2025,2/11/2025,4 days,https://dxfest.com,"Short Documentary,Mid-length Documentary,Feature Documentary",Investigative,,8/9/2025,8/9/2025,,https://filmfreeway.com/DoubleExposureInvestigativeFilmFestival,FilmFreeway,Shorts up to 40 min.,Active,4/17/2025
DOXA Documentary Film Festival,North America,Canada,Vancouver,1/5/2025,11/5/2025,11 days,https://www.doxafestival.ca,"Short Documentary,Creative/Experimental,Feature Documentary,Mid-length Documentary",,,20/12/2024,5/1/2025,,https://filmfreeway.com/DOXAFestival,FilmFreeway,More info: https://www.doxafestival.ca/submissions ,Active,4/17/2025
Dublin International Film Festival,Europe,Ireland,Dublin,19/2/2026,1/3/2026,11 days,https://diff.ie/,"Feature Documentary,Short Documentary",,,15/8/2025,10/11/2025,,https://filmfreeway.com/DublinInternationalFilmFestival,FilmFreeway,"Features over 60 min.
Shorts up to 30 min.",Active,4/17/2025
Durban International Film Festival,Africa,South Africa,Durban,17/7/2025,27/7/2025,11 days,https://ccadiff.ukzn.ac.za/,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary",,checked,31/1/2025,,,https://filmfreeway.com/durbanfilmfest/,FilmFreeway,"Shorts: 60 minutes and  under
Feature: over 60 minutes",Active,4/17/2025
EBS International Documentary Film Festival,Asia Pacific,South Korea, Goyang-si,25/8/2025,31/8/2025,7 days,https://www.eidf.co.kr/eng,"Short Documentary,Mid-length Documentary,Feature Documentary",,,9/5/2025,,,,,"All lengths considered. 
Email contact: eidfapply@ebs.co.kr
Website not up to date. More info: https://www.instagram.com/ebs_eidf",Active,4/17/2025
Edinburgh International Film Festival,Europe,United Kingdom,Edinburgh,14/8/2025,20/8/2025,7 days,https://www.edfilmfest.org.uk/edinburgh-international-film-festival,"Short Documentary,Feature Documentary,Mid-length Documentary",Fiction (mainly),,14/3/2025,18/4/2025,,https://filmfreeway.com/EdFilmFest2025,FilmFreeway,"Shorts up to 30 min.
Features all runtimes longer than 30 min
More info: https://www.edfilmfest.org/submissions/",Active,4/17/2025
EDOC - Festival Internacional de Cine Documental,Central and South America,Ecuador,Quito,5/10/2025,14/10/2025,10 days,https://festivaledoc.org/,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",,,8/6/2024,8/6/2024,checked,https://docs.google.com/forms/d/e/1FAIpQLSezFB4t-mpgOvhsrmyvqOC49PfeyYmpAQQmcf_5MQn2bcWa2w/viewform,,"Non competitive festival
All lengths allowed",Active,4/17/2025
Ekotopfilm,Europe,Slovakia,Bratislava and Prague,15/10/2025,17/9/2025,3 days,https://www.ekotopfilm.sk,"Short Documentary,Mid-length Documentary,Feature Documentary","Environment,Children and young audiences,Science",,30/6/2025,,checked,https://filmfreeway.com/ekotopfilm,FilmFreeway,Different tours in many cities around the year! Check details here: https://filmfreeway.com/ekotopfilm,Active,4/17/2025
El Gouna Film Festival,Middle East and North Africa,Egypt,El Gouna,16/10/2025,24/10/2025,9 days,http://elgounafilmfestival.com,"Mid-length Documentary,Feature Documentary,Short Documentary",,,30/6/2025,,,https://vp.eventival.com/elgounafilmfestival,Eventival,"More info: https://elgounafilmfestival.com/submission 
",Active,4/17/2025
Encounters South African International Documentary Festival,Africa,South Africa,Cape Town,19/6/2025,29/6/2025,11 days,https://encounters.co.za,"Short Documentary,Mid-length Documentary,Feature Documentary",,,24/2/2025,,,https://encounters.co.za/submit-international-documentary/ ; https://encounters.co.za/submit-african-documentary/,,"Check other deadlines: 
https://encounters.co.za/documentary-submission-rules/",Active,4/17/2025
États Généraux du Film Documentaire,Europe,France,Lussas,17/8/2025,23/8/2025,7 days,https://ardecheimages.org/les-etats-generaux-du-film-documentaire-2025/,"Short Documentary,Mid-length Documentary,Feature Documentary",French language,,9/5/2025,10/5/2024,checked,https://www.docfilmdepot.com/fr/home/accueil/fichefestival/id_festival/1,DocFilmDepot,"Website in French Only
",Active,4/17/2025
ETNO Film  - International Festival of Ethnological Film,Europe,Serbia,Belgrade,4/12/2024,8/12/2024,4 days,https://www.etnofilm.org/index.php/en/,"Short Documentary,Mid-length Documentary,Feature Documentary",Ethnographic film,,1/9/2024,,checked,,,"Accepts all lengths
2025 dates TBA, Submissions usually open in July",Active,4/17/2025
ETNOFILM ČADCA - International biennial film festival of documentary ethnological film,Europe,Slovak Republic,Čadca,12/11/2024,15/11/2024,4 days,https://www.etnofilm.sk/en/#,"Feature Documentary,Mid-length Documentary,Short Documentary",Ethnographic film,,30/5/2024,,checked,https://www.etnofilm.sk/en/entry-form,,This festival takes place every two years. Next edition will take place in 2026,Active,4/17/2025
Fajr International Film Festival,Middle East and North Africa,Iran,Tehran,31/1/2025,4/2/2025,11 days,https://www.fajriff.com/en/,"Short Documentary,Mid-length Documentary,Feature Documentary",,,10/12/2024,10/12/2024,,https://portal.fajriff.com,,"
",Active,4/17/2025
Fespaco - Pan-African Film and Television Festival of Ouagadougou,Africa,Burkina Faso,Ouagadougou,22/2/2025,1/3/2025,8 days,https://fespaco.bf,"Feature Documentary,Short Documentary",,,30/9/2024,30/9/2024,,https://fespaco.bf/formulaire-inscription-des-films/,,"Held every two years during the month of March. 

Feature documentary films with minimum length of 60min.
Shorts documentary films with length between 1min and 35min.",Active,5/6/2025
Festival Dei Popoli,Europe,Italy,Florence,3/11/2025,9/11/2025,7 days,https://www.festivaldeipopoli.org/?lang=en,"Short Documentary,Mid-length Documentary,Feature Documentary",,,7/4/2025,7/6/2025,,https://areariservata.festivaldeipopoli.org/index.php/en/,,Regulations: https://www.festivaldeipopoli.org/film-submissions-for-66th-festival-dei-popoli-are-open/?lang=en,Active,4/17/2025
Festival Internacional de Cine de los Derechos Humanos “El séptimo ojo es tuyo”,Central and South America,Bolivia,Sucre,26/8/2024,31/8/2025,,https://cinetecadederechoshumanos.org,"Short Documentary,Mid-length Documentary,Feature Documentary",Human Rights,,31/7/2024,,checked,https://cinetecadederechoshumanos.org/convocatoria/,,"Special edition for 2024 and 2025; https://cinetecadederechoshumanos.org/convocatoria/
",Active,12/25/2024
Festival Política ,Europe,Portugal,"Braga, Coimbra, Lisboa, Loulé ",2/4/2025,30/11/2025,,https://festivalpolitica.pt,"Feature Documentary,Short Documentary",Human Rights,,10/1/2025,,checked,https://filmfreeway.com/FestivalPoltica,FilmFreeway,,Active,4/17/2025
FIDBA International Film Festival Argentina,Central and South America,Argentina,Buenos Aires,2/10/2025,12/10/2025,11 days,https://fidba.org,"Short Documentary,Mid-length Documentary,Feature Documentary,VR/AR,Creative/Experimental,Series",,,30/6/2025,11/8/2025,,https://filmfreeway.com/FIDBA,FilmFreeway,Shorts are 40 minutes and under; features anything over 40 minutes.,Active,4/17/2025
FIDMarseille - Marseille International Film Festival ,Europe,France,Marseille,8/7/2025,13/7/2025,6 days,https://fidmarseille.org/en,"Short Documentary,Feature Documentary,Mid-length Documentary,Creative/Experimental",Experimental,,31/1/2024,15/3/2025,,https://fidmarseille.org/en/appels-a-films-a-projets,,"Shorts under 60 min 
Features over 60 min.
More info: https://archives.fidmarseille.org/festival/reglement/#en",Active,4/18/2025
FIDOCS - Santiago International Documentary Film Festival,Central and South America,Chile,Santiago,19/11/2025,26/11/2025,8 days,https://fidocs.cl,"Mid-length Documentary,Feature Documentary,Short Documentary",,,13/6/2025,4/7/2025,,https://filmmakers.festhome.com/f/1180/1: https://filmfreeway.com/FIDOCS-FestivalInternacionaldeDocumentalesdeSantiago,"Festhome,FilmFreeway","Open to international documentaries longer than 40 minutes. 
Shorts category only for Chileans or chilean residents, up to 30 min.",Active,4/18/2025
FIFDH - International Film Festival and Forum on Human Rights Geneva ,Europe,Switzerland,Geneva ,6/3/2026,15/3/2026,10 days,https://fifdh.org/en/,"Mid-length Documentary,Feature Documentary",Human Rights,,,,,https://fifdh.org/en/press-industry/submit-your-film,,"Minimum run time is 50 minutes: https://fifdh.org/en/press-industry/submit-your-film.

No submission link or deadlines yet for 2026",Active,4/18/2025
Film Fest Gent,Europe,Belgium,Gent,8/10/2025,19/10/2025,12 days,https://www.filmfestival.be/en,"Short Documentary,Mid-length Documentary,Feature Documentary,Student Documentary,Creative/Experimental","Fiction (mainly),Music",,1/7/2025,1/7/2025,,https://www.filmfestival.be/en/myffg/submit-my-film,,"Shorts: 30 minutes and under. 
Mid-length: 31 to 69 minutes.
Features: 70 minutes and longer.",Active,4/18/2025
Film Festival Cologne,Europe,Germany,Cologne,9/10/2025,16/10/2025,8 days,https://filmfestival.cologne/en/,"Feature Documentary,Series",,,31/7/2025,,checked,https://ffcgn.filmchief.com/submit-film/ffcgn-2025,,"Feature films, documentaries and TV films as well as series of all genres with a running time of 45 minutes or more are eligible. 
More info: https://filmfestival.cologne/en/programm-submission ",Active,4/18/2025
FilmFest Dresden short film festival ,Europe,Germany,Dresden,8/4/2025,13/4/2025,6 days,https://www.filmfest-dresden.de/en/,"Short Documentary,Creative/Experimental",,,1/12/2024,,,https://www.filmfest-dresden.de/en/professionals/film-submission,,Films up to 30 minutes.,Active,4/18/2025
FILMFEST HAMBURG - Hamburg Film Festival,Europe,Germany,Hamburg,25/9/2025,4/10/2025,10 days,filmfesthamburg.de/en,Feature Documentary,,,8/6/2025,,,https://www.filmfesthamburg.de/en/program/film-submission/,,"Submissions must be 60 minutes or longer. 
",Active,4/18/2025
Filmfest München,Europe,Germany,Munich,27/6/2025,6/7/2025,10 days,https://www.filmfest-muenchen.de/en/,Feature Documentary,,,,,,https://www.filmfest-muenchen.de/en/industry/film-submissions/,,By invitation only. ,Active,12/25/2024
Fipadoc,Europe,France, Biarritz,23/1/2026,31/1/2026,9 days,https://fipadoc.com/en,"Short Documentary,Mid-length Documentary,Feature Documentary,Episodic,VR/AR",,,13/10/2025,,,https://film-fipadoc.festicine.pro/en,FestiCine,Deadline TBC,Active,4/18/2025
FiSahara - Western Sahara International Film Festival,Middle East and North Africa,Algeria,Sahrawi Refugee Camps,1/10/2025,,,https://festivalsahara.org/en/,"Short Documentary,Mid-length Documentary,Feature Documentary",Human Rights,,,,,,,"@025 festival will take place in October, exact dates TBA

The festival aims to empower, entertain and convey media skills to the refugees from the Western Sahara using film as a vehicle for social change.
",Active,4/18/2025
Flahertiana - International Documentary Film Festival,Europe,Russia,Perm,19/9/2025,25/9/2025,7 days,https://eng.flahertiana.ru,"Feature Documentary,Short Documentary,Student Documentary",,,10/5/2025,,checked,https://eng.flahertiana.ru/about/application.htm ,,"Observational cinema festival.

Regulations: https://eng.flahertiana.ru/about/regulations.htm 
",Active,4/18/2025
Flickerfest International Short Film Festival,Asia Pacific,Australia ,Sydney,17/1/2025,26/1/2025,10 days,https://flickerfest.com.au,"Short Documentary,Mid-length Documentary",,,11/9/2024,9/10/2024,,https://filmfreeway.com/flickerfest,FilmFreeway,Open to documentaries up to 35 minutes in duration. ,Active,4/18/2025
Flickers - Rhode Island International Film Festival,North America,USA,"Providence, RI",5/8/2025,10/8/2025,6 days,http://www.film-festival.org,"Short Documentary,Mid-length Documentary,Feature Documentary",,,15/5/2025,15/6/2025,,https://filmfreeway.com/RIFilmFest,FilmFreeway,Shorts are 40 minutes and under; features 41 minutes and longer. ,Active,4/18/2025
Frameline - the San Francisco International LGBTQ+ Film Festival,North America,USA,"San Francisco, CA",18/6/2025,28/6/2025,11 days,https://www.frameline.org,"Short Documentary,Feature Documentary,Mid-length Documentary,Episodic",2SLGBTQIA+ ,,24/1/2025,5/3/2025,,https://www.frameline.org/filmmakers/submit,,"Queer cinema festival based in Oakland and San Francisco.
Shorts up to 40 min
Features 40 min and over
Series minimum length 40 minutes total",Active,4/18/2025
Free Zone Film Festival,Europe,Serbia,"Belgrade, Novi Sad, Niš Kragujevac",18/3/2025,20/6/2025,,https://slobodnazona.rs/?lang=en,Feature Documentary,Human Rights,,,,,,,"The festival selects films that have won awards or have been part of major festivals, and are shown in over 50 cities and municipalities in Serbia.",Active,4/18/2025
Freedom Film Festival,Asia Pacific,Malaysia,Selangor,3/8/2024,24/8/2024,22 days,https://freedomfilm.my/,"Mid-length Documentary,Feature Documentary,Short Documentary,Student Documentary",Human Rights,,1/3/2024,,,https://freedomfilm.my/whyfreedom/,,"No festival in 2025

Feature Documentary: over 60 mins
Short Documentary: under 30 mins
Student Film: under 10 mins

Human rights festival.Regulations : https://freedomfilm.my/whyfreedom/grant-details/ ",Active,4/18/2025
FRONTDOC,Europe,Italy,Aosta,26/10/2024,2/11/2024,8 days,https://frontdoc.wixsite.com/frontdoc,"Short Documentary,Mid-length Documentary,Feature Documentary","Human Rights,Ethnographic film",,31/5/2024,31/7/2024,,https://filmfreeway.com/FRONTDOC,FilmFreeway,"Dates for 2025 TBA

Shorts under 20; mid-length 21-60; feature over 60 minutes. 
",Active,4/18/2025
Fronteira - Festival Internacional do Filme Documentário e Experimental,Central and South America,Brazil,Brasilia,26/8/2023,3/9/2023,9 days,http://www.fronteirafestival.com/en,"Short Documentary,Mid-length Documentary,Feature Documentary,Creative/Experimental",Experimental,,5/4/2023,,checked,https://www.fronteirafestival.com/en/info/noticia/321/registrations-for-the-5th-edition-of-fronteira-have-closed-on-april-5-2023,,"No info about new editions.
",Inactive,4/22/2025
Full Frame Documentary Film Festival,North America,USA,"Durham, NC",16/4/2026,19/4/2026,4 days,https://www.fullframefest.org,"Short Documentary,Mid-length Documentary,Feature Documentary",,,30/9/2025,15/10/2025,,https://www.fullframefest.org/submit/,,"Shorts are 40 minutes and under; features include films from 41 to 180 minutes. 

https://www.fullframefest.org/2025-call-for-entries/ ",Active,4/22/2025
